lastName,firstName,Date,Period,School,Sport,proportion_male,proportion_female,gender,schoolAddress,websiteAddress,Latitude,Longitude
Bingham,Lance,2018-2019,Jul 2016 - Jul 2020,Abilene Christian University,Men's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Indoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,Women's Cross Country,0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Women's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Bingham,Lance,2018-2019,Sep 2016 - Jul 2020,Abilene Christian University,"Men's Track, Outdoor",0.9964,0.0036,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Dorrel,Adam,2018-2019,Jan 2017 - ,Abilene Christian University,Football,0.9959,0.0041,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Farler,Abigail,2018-2019,Jul 2019 - ,Abilene Christian University,Softball,0.0018,0.9982,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Golding,Joe,2018-2019,Aug 2011 - ,Abilene Christian University,Men's Basketball,0.9745,0.0255,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Goodenough,Julie,2018-2019,May 2012 - ,Abilene Christian University,Women's Basketball,0.0027,0.9973,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Jones,Hutton,2018-2019,Sep 2003 - Sep 2019,Abilene Christian University,Men's Tennis,0.9713,0.0287,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
McCarty,Rick,2018-2019,Jul 2018 - ,Abilene Christian University,Baseball,0.9982,0.0018,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Mooney,Angela,2018-2019,Mar 2017 - ,Abilene Christian University,Women's Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Mooney,Angela,2018-2019,Sep 2017 - ,Abilene Christian University,Women's Beach Volleyball,0.003,0.997,female,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Shaw,Tom,2018-2019,Aug 2014 - ,Abilene Christian University,Men's Golf,0.9969,0.0031,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Walker,John,2018-2019,Jun 2018 - Aug 2020,Abilene Christian University,Women's Tennis,,,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Wilson,Casey,2018-2019,Sep 2005 - ,Abilene Christian University,Women's Soccer,0.575,0.425,male,"Abilene, TX 79699",www.acu.edu,32.4682700000001,-99.71153
Brown,Cassandra,2018-2019,Oct 2018 - ,Alabama A&M University,Softball,0.0022,0.9978,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Howard,Dylan,2018-2019,Jun 2018 - ,Alabama A&M University,Men's Basketball,0.9738,0.0262,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Oct 2015 - ,Alabama A&M University,"Men's Track, Outdoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,"Women's Track, Outdoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,Women's Cross Country,0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Oct 2015 - ,Alabama A&M University,"Men's Track, Indoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Jones,LaShaunda,2018-2019,Aug 2015 - ,Alabama A&M University,"Women's Track, Indoor",0,1,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Lora,Manny,2018-2019,Sep 2018 - Jun 2020,Alabama A&M University,Baseball,1,0,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Maynor,Connell,2018-2019,Feb 2018 - ,Alabama A&M University,Football,1,0,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Mbandi,Willis,2018-2019,Nov 2012 - ,Alabama A&M University,Women's Tennis,0.9862,0.0138,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Mbandi,Willis,2018-2019,Nov 2012 - ,Alabama A&M University,Men's Tennis,0.9862,0.0138,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Miller,Trey,2018-2019,Dec 2016 - Jun 2020,Alabama A&M University,Men's Golf,0.997,0.003,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Moore,James,2018-2019,Aug 2017 - ,Alabama A&M University,Women's Bowling,0.9956,0.0044,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Powell,Rose,2018-2019,Jul 2014 - ,Alabama A&M University,Women's Volleyball,0.0042,0.9958,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Richards,Margaret M.,2018-2019,Jul 2016 - ,Alabama A&M University,Women's Basketball,,,female,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Stephens,Emanuel,2018-2019,Dec 2016 - ,Alabama A&M University,Women's Soccer,0.9978,0.0022,male,"4900 Meridian St N, Huntsville, AL 35811",www.aamu.edu/,34.7837900000001,-86.5722499999999
Beene,Ritche,2018-2019,Aug 2008 - ,Alabama State University,Men's Cross Country,,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Beene,Ritche,2018-2019,Aug 2008 - ,Alabama State University,"Men's Track, Indoor",,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Beene,Ritche,2018-2019,Aug 2008 - ,Alabama State University,Women's Cross Country,,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Beene,Ritche,2018-2019,Aug 2008 - ,Alabama State University,"Women's Track, Outdoor",,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Beene,Ritche,2018-2019,Aug 2008 - ,Alabama State University,"Women's Track, Indoor",,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Beene,Ritche,2018-2019,Aug 2008 - ,Alabama State University,"Men's Track, Outdoor",,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Chatmon,Andrew,2018-2019,Aug 2007 - ,Alabama State University,Women's Bowling,0.996,0.004,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Christiansz,Anuk,2018-2019,Oct 2011 - ,Alabama State University,Men's Tennis,,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Christiansz,Anuk,2018-2019,Aug 2011 - ,Alabama State University,Women's Tennis,,,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Freeman-Jackson,Freda,2018-2019,Aug 1998 - ,Alabama State University,Women's Basketball,0.0008,0.9992,female,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Grandison,Gary,2018-2019,Aug 2006 - Nov 2019,Alabama State University,Men's Golf,0.9962,0.0038,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Grandison,Gary,2018-2019,Aug 2006 - Nov 2019,Alabama State University,Women's Golf,0.9962,0.0038,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Hill,Donald,2018-2019,Nov 2017 - ,Alabama State University,Football,0.9961,0.0039,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Jackson,Lewis,2018-2019,Jul 2005 - ,Alabama State University,Men's Basketball,0.9939,0.0061,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Lucas-White,Penny,2018-2019,Sep 2011 - ,Alabama State University,Women's Volleyball,0.0036,0.9964,female,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Smith,Jodie,2018-2019,Sep 2007 - ,Alabama State University,Women's Soccer,0.0804,0.9196,female,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Steiner-Wilcoxson,Christina,2018-2019,Oct 2014 - Oct 2019,Alabama State University,Softball,0.004,0.996,female,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
Vazquez,Jose,2018-2019,Aug 2016 - ,Alabama State University,Baseball,0.9923,0.0077,male,"915 S Jackson Street, Montgomery, AL 36104-0271",www.alasu.edu,32.3659900000001,-86.29616
McNair,Fred,2018-2019,Feb 2016 - ,Alcorn State University,Football,0.9952,0.0048,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Noel,Junior,2018-2019,Aug 2017 - May 2020,Alcorn State University,Women's Soccer,0.9974,0.0026,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Oliveira,Barbara,2018-2019,Aug 2018 - Aug 2019,Alcorn State University,Men's Tennis,,,female,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Oliveira,Barbara,2018-2019,Aug 2018 - Aug 2019,Alcorn State University,Women's Tennis,,,female,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Pruitt,Courtney,2018-2019,Sep 2016 - May 2020,Alcorn State University,Women's Basketball,0.0723,0.9277,female,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Rankin,Josef,2018-2019,Oct 2014 - ,Alcorn State University,Softball,1,0,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Richardson,Bretton,2018-2019,Sep 2015 - ,Alcorn State University,Baseball,1,0,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Robinson,Melissa,2018-2019,Apr 2019 - ,Alcorn State University,Women's Volleyball,0.0031,0.9969,female,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Robinson,Montez,2018-2019,Sep 2015 - May 2020,Alcorn State University,Men's Basketball,0.879,0.121,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Tate,"Jr., Fermon",2018-2019,Nov 2018 - May 2020,Alcorn State University,"Women's Track, Indoor",,,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Tate,"Jr., Fermon",2018-2019,Nov 2018 - May 2020,Alcorn State University,Men's Cross Country,,,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Tate,"Jr., Fermon",2018-2019,Nov 2018 - May 2020,Alcorn State University,Women's Cross Country,,,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Tate,"Jr., Fermon",2018-2019,Nov 2018 - May 2020,Alcorn State University,"Men's Track, Outdoor",,,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Tate,"Jr., Fermon",2018-2019,Nov 2018 - May 2020,Alcorn State University,"Men's Track, Indoor",,,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Tate,"Jr., Fermon",2018-2019,Nov 2018 - May 2020,Alcorn State University,"Women's Track, Outdoor",,,male,"1000 ASU Dr Ste 359, Alcorn State, MS 39096-7500",www.alcorn.edu,31.87604,-91.1400399999999
Lang,Eric,2018-2019,Jun 2016 - ,American International College,Men's Ice Hockey,0.9947,0.0053,male,"1000 State Street, Springfield, MA 01109",www.aic.edu,42.11341,-72.55825
Brennan,Michael,2018-2019,Jun 2013 - ,American University,Men's Basketball,0.9947,0.0053,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Davin,Mark,2018-2019,Oct 1995 - ,American University,Men's Swimming and Diving,0.9967,0.0033,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Davin,Mark,2018-2019,Oct 1995 - ,American University,Women's Swimming and Diving,0.9967,0.0033,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Gebbia,Megan,2018-2019,Oct 2013 - ,American University,Women's Basketball,0.0024,0.9976,female,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Goldberg,Barry,2018-2019,Sep 1993 - ,American University,Women's Volleyball,0.9955,0.0045,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Graham,Sean,2018-2019,Sep 2017 - ,American University,"Men's Track, Indoor",0.9925,0.0075,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Graham,Sean,2018-2019,Sep 2017 - ,American University,"Women's Track, Outdoor",0.9925,0.0075,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Graham,Sean,2018-2019,Sep 2017 - ,American University,Women's Cross Country,0.9925,0.0075,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Graham,Sean,2018-2019,Sep 2017 - ,American University,"Men's Track, Outdoor",0.9925,0.0075,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Graham,Sean,2018-2019,Sep 2017 - ,American University,Men's Cross Country,0.9925,0.0075,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Graham,Sean,2018-2019,Sep 2017 - ,American University,"Women's Track, Indoor",0.9925,0.0075,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Hering,Anabel,2018-2019,Sep 2014 - Feb 2020,American University,Women's Soccer,0.0043,0.9957,female,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Jennings,Steve,2018-2019,Sep 1999 - ,American University,Field Hockey,0.9961,0.0039,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Moore,Teague,2018-2019,Jul 2011 - Mar 2021,American University,Men's Wrestling,0.9734,0.0266,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Samol,Zach,2018-2019,Feb 2019 - ,American University,Men's Soccer,1,0,male,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Wallace,Emma,2018-2019,Jul 2013 - Nov 2018,American University,Women's Lacrosse,0.0021,0.9979,female,"4400 Massachusetts Ave NW, Washington, DC 20016-8001",WWW.AMERICAN.EDU,38.9362400000001,-77.08622
Bentley,John Mark,2018-2019,Aug 2009 - ,Appalachian State University,Men's Wrestling,,,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Brown,Heather,2018-2019,Sep 2008 - ,Appalachian State University,Women's Golf,0.0027,0.9973,female,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Curcio,Mike,2018-2019,Jul 1995 - ,Appalachian State University,Men's Cross Country,0.9966,0.0034,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Curcio,Mike,2018-2019,Jul 1995 - ,Appalachian State University,Women's Cross Country,0.9966,0.0034,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Dawson,Meghan,2018-2019,Apr 2015 - ,Appalachian State University,Field Hockey,0.0023,0.9977,female,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Elderkin,Angel,2018-2019,Nov 2014 - ,Appalachian State University,Women's Basketball,0.6742,0.3258,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Ginipro,Matt,2018-2019,Jul 2007 - ,Appalachian State University,Women's Volleyball,0.9997,0.0003,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Hoerner,Shelly,2018-2019,Aug 2017 - ,Appalachian State University,Softball,0.0183,0.9817,female,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Kerns,Dustin,2018-2019,May 2019 - ,Appalachian State University,Men's Basketball,0.9928,0.0072,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
McLean,Damion,2018-2019,Jul 2018 - ,Appalachian State University,"Women's Track, Indoor",0.9973,0.0027,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
McLean,Damion,2018-2019,Jul 2018 - ,Appalachian State University,"Men's Track, Indoor",0.9973,0.0027,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
McLean,Damion,2018-2019,Jul 2018 - ,Appalachian State University,"Men's Track, Outdoor",0.9973,0.0027,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
McLean,Damion,2018-2019,Jul 2018 - ,Appalachian State University,"Women's Track, Outdoor",0.9973,0.0027,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Mosley,Blake,2018-2019,Aug 2016 - Jan 2021,Appalachian State University,Women's Tennis,0.9642,0.0358,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
O'Keefe,Jason,2018-2019,Apr 2016 - ,Appalachian State University,Men's Soccer,0.9948,0.0052,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Redman,Bo,2018-2019,Oct 2017 - Nov 2019,Appalachian State University,Men's Golf,0.9348,0.0652,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Satterfield,Scott,2018-2019,Feb 2013 - Feb 2019,Appalachian State University,Football,0.9964,0.0036,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Schwartz,Craig,2018-2019,Nov 2018 - ,Appalachian State University,Men's Tennis,0.9964,0.0036,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Smith,Kermit,2018-2019,Sep 2016 - ,Appalachian State University,Baseball,0.9995,0.0005,male,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Strickland,Sarah,2018-2019,Feb 2010 - ,Appalachian State University,Women's Soccer,0.0029,0.9971,female,"287 Rivers St, Boone, NC 28608",www.appstate.edu/,36.2112700000001,-81.6773899999999
Bowman,Bob,2018-2019,May 2015 - ,Arizona State University,Men's Swimming and Diving,0.9969,0.0031,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Bowman,Bob,2018-2019,May 2015 - ,Arizona State University,Women's Swimming and Diving,0.9969,0.0031,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Clapper,Todd,2018-2019,Sep 2005 - ,Arizona State University,Women's Water Polo,0.996,0.004,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Edwards,Herm,2018-2019,Jan 2018 - ,Arizona State University,Football,,,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Farr-Kaye,Melissa,2018-2019,Jul 2015 - ,Arizona State University,Women's Golf,0.0031,0.9969,female,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Ford,Trisha,2018-2019,Jul 2016 - ,Arizona State University,Softball,0.0012,0.9988,female,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Hill,Matt,2018-2019,Jul 2016 - ,Arizona State University,Men's Tennis,0.9997,0.0003,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Hurley,Bobby,2018-2019,May 2015 - ,Arizona State University,Men's Basketball,0.9724,0.0276,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Jones,Zeke,2018-2019,May 2014 - ,Arizona State University,Men's Wrestling,1,0,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Keenan,Brad,2018-2019,Jun 2017 - ,Arizona State University,Women's Beach Volleyball,0.997,0.003,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
McCormack,Tim,2018-2019,Aug 2019 - ,Arizona State University,Women's Lacrosse,0.9975,0.0025,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
McInerney,Sheila,2018-2019,Sep 1984 - ,Arizona State University,Women's Tennis,0.0026,0.9974,female,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Miller,Dion,2018-2019,Aug 2019 - ,Arizona State University,Women's Cross Country,0.9336,0.0664,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Miller,Dion,2018-2019,Aug 2019 - ,Arizona State University,Men's Cross Country,0.9336,0.0664,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Miller,Dion,2018-2019,Aug 2019 - ,Arizona State University,"Men's Track, Outdoor",0.9336,0.0664,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Miller,Dion,2018-2019,Aug 2019 - ,Arizona State University,"Men's Track, Indoor",0.9336,0.0664,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Miller,Dion,2018-2019,Aug 2019 - ,Arizona State University,"Women's Track, Outdoor",0.9336,0.0664,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Miller,Dion,2018-2019,Aug 2019 - ,Arizona State University,"Women's Track, Indoor",0.9336,0.0664,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Powers,Greg,2018-2019,Dec 2014 - ,Arizona State University,Men's Ice Hockey,0.998,0.002,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Santos,Jay,2018-2019,Jul 2016 - ,Arizona State University,Women's Gymnastics,0.9875,0.0125,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Smith,Tracy,2018-2019,Jul 2014 - ,Arizona State University,Baseball,0.183,0.817,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Thurmond,Matt,2018-2019,Aug 2016 - ,Arizona State University,Men's Golf,0.9997,0.0003,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Tomasevic,Sanja,2018-2019,Feb 2017 - ,Arizona State University,Women's Volleyball,0,1,female,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Turner Thorne,Charli,2018-2019,Aug 1996 - ,Arizona State University,Women's Basketball,0.0263,0.9737,female,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Winkworth,Graham,2018-2019,Jan 2017 - ,Arizona State University,Women's Soccer,0.9965,0.0035,male,"University Drive and Mill Avenue, Tempe, AZ 85287",www.asu.edu/,33.4219200000001,-111.93494
Anderson,Blake,2018-2019,Jan 2014 - Apr 2021,Arkansas State University,Football,0.9642,0.0358,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Balado,Mike,2018-2019,Apr 2017 - ,Arkansas State University,Men's Basketball,0.9966,0.0034,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Daniel,Matt,2018-2019,May 2019 - ,Arkansas State University,Women's Basketball,0.9997,0.0003,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Desbiens,Marie-Josee,2018-2019,Jul 2010 - ,Arkansas State University,Women's Golf,,,female,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Dooley,Brian D.,2018-2019,Feb 2015 - ,Arkansas State University,Women's Soccer,,,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Hagen,Michael,2018-2019,Aug 2015 - ,Arkansas State University,Men's Golf,0.9947,0.0053,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Kostick,Justin,2018-2019,Nov 2017 - ,Arkansas State University,Women's Bowling,0.9947,0.0053,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Lange,Kel,2018-2019,Aug 2015 - ,Arkansas State University,Women's Tennis,1,0,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Patchell,Jim,2018-2019,Sep 2011 - ,Arkansas State University,"Men's Track, Indoor",0.9966,0.0034,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
Patchell,Jim,2018-2019,Aug 2019 - ,Arkansas State University,Women's Cross Country,0.9966,0.0034,male,"2105 E. Aggie Road, Jonesboro, AR 72401",www.astate.edu/,35.84238,-90.6801
